country,CBR-1985,CBR-2000,CBR-2015,CBR-2030,CDR-1085,CDR-2000,CDR-2015,CDR-2030,Lexp-1985,Lexp-2000,Lexp-2015,Lexp-2030,PO60-1985,PO60-2000,PO60-2015,PO60-2030
Algeria,35.2,19.2,21.6,14.5,6.8,4.9,4.8,5.3,65.9,71.5,76.4,79.3,5,6.4,8.9,13.3
Bahrain,31.4,20.4,14.2,11.2,3.6,2.7,2.4,3.5,71.8,74.9,77.1,79.1,4,3.8,4.1,9.2
Comoros,44.2,36.9,32.1,26.3,12.5,9.4,7.3,6.7,55.3,59.6,64,66.7,5.1,4.7,4.7,6.1
Djibouti,40,30.1,22.5,17.6,10.5,10.2,8.4,8.7,56.1,57.3,62.7,65.4,4.1,4.8,6.2,9.1
Egypt,36.7,25.4,25,20.1,9.2,6.4,5.8,6,63.5,69,71.8,74.2,6.9,7.2,7.7,9.9
Iraq,38.3,34.9,32.5,27.8,7.8,5.6,4.9,4.6,64.3,68.9,70.1,72.4,5.8,5.2,5,6
Jordan,36.1,30.1,25.5,19.8,5.5,4,3.8,4.3,69.2,72.2,74.5,76.7,5.2,4.9,5.5,8.7
Kuwait,27.9,21,15.8,12.2,2.8,2.5,2.9,5,71.6,73.3,74.9,76.6,2.4,3,4.1,12.1
Lebanon,25.9,16.3,15.4,11.5,7,5.2,4.7,6.4,69.6,75.6,79.8,82.4,7.9,10.4,11.5,19
Libya,32.4,21.2,18.8,13.5,5.6,4.8,5.2,6.2,67.5,70.8,72.3,74.4,4.7,5.7,6.5,11
Mauritania,41.5,37.8,33.5,28.3,10.9,9.4,7.8,7.3,57.8,60.3,63.4,65.4,4.9,4.9,4.9,6.2
Morocco,31.4,21.8,19.2,14.4,8.1,6.1,5.1,5.8,63.2,70,76.2,79.4,5.7,7.7,10,15.7
Oman,42.9,22.4,17.2,10.7,6.4,3.3,2.5,3,65.6,73.2,77.4,80.6,3.7,4,3.8,7.1
Qatar,24.9,18,10,7.9,2.3,1.9,1.6,2.8,74.5,76.6,78.4,80.7,2.1,3,2.3,8.6
Saudi Arabia,38.1,25.2,19.1,12.7,5.5,3.6,3.6,5.1,67.9,72.9,74.8,77,4,4.4,5.2,11
Somalia,47,47.5,42.9,36.7,18.6,14.9,11,8,46.4,51.5,56.9,62.4,4.9,4.3,4.3,4.5
Palestine,45.1,35.8,31.2,24.7,5.5,3.8,3.5,3.5,67.1,71.2,73.7,76.1,3.4,3.7,4.5,6.3
Sudan,42.1,38.7,32.4,28,12.3,9.8,7.3,6.6,55.1,59.4,64.8,67.7,4.6,4.8,5.4,6.5
Syria,38.6,29.7,20.5,18.7,4.9,3.6,5.3,4,69.6,73.5,71.3,78.7,4.6,4.8,6.4,9.3
Tunisia,29,16.6,17.5,12.3,6.9,5.7,6.3,7.1,67.1,73.7,76.1,78.8,6.9,9.6,11.7,17.7
UAE,28.5,15.4,9.2,8.7,3,1.8,1.7,2.9,70.7,74.8,77.5,79.8,2,1.7,2,8.1
Yemen,53.5,37.9,30.7,23,12.2,8.6,6.3,5.9,56.8,61,65.2,67.9,4.2,4.3,4.5,5.2
Arab Countries,37.4,27.8,24.9,20.3,8.6,6.3,5.5,5.6,63.3,68.3,71.5,74.1,5.5,6,6.7,9.5
World,27.4,20.9,18.6,16.1,9.5,8.4,7.7,8,63.7,67.2,72,74.7,8.8,10,12.3,16.4
